line_number,username,platform,creator_type,followers,follower_tier,rate_card_idr,rate_card_raw,is_barter
235,machiiiatobirkinowie,tiktok,cat,69100,micro,2200000,"Rp2,200,000",False
236,Doodle_lucky,tiktok,cat,274700,macro,1250000,"Rp1,250,000",False
237,kootie_wijaya,tiktok,cat,62100,micro,1500000,"Rp1,500,000",False
238,mamanmoly,instagram,cat,111900,macro,350000,"Rp350,000",False
239,novasfiynt,instagram,cat,28900,micro,275000,"Rp275,000",False
240,superboysunday,tiktok,dog_medium_breed,99600,micro,800000,"Rp800,000",False
243,Bossthemalamute,instagram,dog_large_breed,26200,micro,500000,"Rp500,000",False
244,foodirectory,tiktok,dog_small_breed,359300,macro,9500000,"Rp9,500,000",False
245,kucngpinky,instagram,cat,18500,micro,350000,"Rp350,000",False
246,derygwaluyo,instagram,cat,38100,micro,3500000,"Rp3,500,000",False
247,pak.paisal,instagram,cat,51100,micro,150000,BARTER,True
255,keluargaboolat,instagram,cat,27200,micro,1000000,"Rp1,000,000",False
256,pandacute,tiktok,cat,191100,macro,300000,"Rp300,000",False
257,lavienlav,tiktok,cat,114200,macro,40000,"Rp40,000",False
258,mamiipul,tiktok,cat,66300,micro,150000,"Rp150,000",False
259,kittysapitri,tiktok,cat,14300,micro,150000,"Rp150,000",False
260,babynachaaa,tiktok,dog_small_breed,393500,macro,800000,"Rp800,000",False
261,adisislami,tiktok,dog_small_breed,210600,macro,500000,"Rp500,000",False
262,simba_saekkiya,tiktok,cat,114000,macro,680000,"Rp680,000",False
263,nyamandiomah,instagram,cat,13900,micro,3800000,"Rp3,800,000",False
264,Nengmolen,tiktok,cat,530400,macro,4000000,"Rp4,000,000",False
265,brunowell_cs,tiktok,cat,216400,macro,500000,"Rp500,000",False
266,Apinus,tiktok,cat,74400,micro,400000,"Rp400,000",False
267,karasikucing,tiktok,cat,12000,micro,700000,"Rp700,000",False
268,muichirolubu,tiktok,cat,25600,micro,700000,"Rp700,000",False
269,comopabloescobar,tiktok,cat,123900,macro,500000,"Rp500,000",False
270,bucincat,tiktok,cat,43700,micro,600000,"Rp600,000",False
271,mbuspotato,tiktok,cat,129700,macro,3000000,"Rp3,000,000",False
272,vinnscat,tiktok,cat,18200,micro,1500000,"Rp1,500,000",False
273,kucingmilu,tiktok,cat,401100,macro,2500000,"Rp2,500,000",False
274,pinihku,tiktok,dog_small_breed,5484,nano,150000,BARTER,True
275,lolyvonp,tiktok,dog_medium_breed,34400,micro,150000,BARTER,True
276,seseorang.24434,tiktok,cat,22500,micro,150000,BARTER,True
277,_snowy19,tiktok,dog_medium_breed,45300,micro,150000,BARTER,True
278,MontyBardoKairosKinf KaneBJ,tiktok,dog_large_breed,843700,macro,500000,"Rp500,000",False
